,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",0
1,"(05,03)","(01,06)","(04,07)","(02,08)",0
2,"(03,08)","(02,07)","(01,04)","(05,06)","2,880"
3,"(08,02)","(03,07)","(05,04)","(06,01)","5,182"
4,"(08,01)","(07,02)","(03,04)","(06,05)","6,706"
5,"(04,06)","(07,01)","(02,03)","(08,05)","9,049"
6,"(01,08)","(04,03)","(07,05)","(02,06)","11,040"
7,"(02,04)","(01,07)","(03,06)","(05,08)","13,920"
8,"(04,01)","(03,02)","(05,07)","(06,08)","16,350"
9,"(06,03)","(04,05)","(08,07)","(02,01)","18,479"
10,"(03,01)","(02,05)","(07,06)","(08,04)","19,688"
11,"(01,02)","(07,04)","(08,06)","(03,05)","21,642"
12,"(07,08)","(01,03)","(06,04)","(05,02)","23,901"
13,"(04,02)","(06,07)","(08,03)","(05,01)","25,823"
