,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Games #1,Games #2,Games #3,Games #4,"C[1,1]","C[1,2]","C[1,3]","C[1,4]","C[2,1]","C[2,2]","C[2,3]","C[2,4]","C[3,1]","C[3,2]","C[3,3]","C[3,4]","C[4,1]","C[4,2]","C[4,3]","C[4,4]",D
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"(04,07)","(02,08)","(01,06)","(05,03)",3,2,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2,974"
2,"(05,06)","(01,04)","(03,08)","(02,07)",4,1,3,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"5,738"
3,"(06,01)","(08,02)","(05,04)","(03,07)",3,4,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,"7,995"
4,"(07,02)","(03,04)","(08,01)","(06,05)",3,1,4,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,"9,348"
5,"(07,01)","(04,06)","(02,03)","(08,05)",3,2,1,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,"11,827"
6,"(04,03)","(07,05)","(01,08)","(02,06)",3,4,1,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,"13,111"
7,"(03,06)","(02,04)","(05,08)","(01,07)",3,2,4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,"14,548"
8,"(03,02)","(05,07)","(04,01)","(06,08)",1,3,2,4,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,"16,159"
9,"(02,01)","(06,03)","(08,07)","(04,05)",1,3,4,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,"18,313"
10,"(08,04)","(03,01)","(02,05)","(07,06)",4,2,1,3,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,"19,329"
11,"(01,02)","(07,04)","(03,05)","(08,06)",1,3,2,4,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,"22,154"
12,"(06,04)","(01,03)","(07,08)","(05,02)",3,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,"24,413"
13,"(08,03)","(04,02)","(06,07)","(05,01)",4,1,3,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,"26,765"
