,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(07,03)","(06,02)",0
1,"(05,03)","(02,08)","(04,07)","(01,06)","1,270"
2,"(03,08)","(02,07)","(01,04)","(05,06)","2,920"
3,"(03,07)","(06,01)","(05,04)","(08,02)","4,486"
4,"(07,02)","(06,05)","(03,04)","(08,01)","5,839"
5,"(04,06)","(02,03)","(07,01)","(08,05)","7,235"
6,"(02,06)","(01,08)","(07,05)","(04,03)","7,736"
7,"(02,04)","(05,08)","(01,07)","(03,06)","9,276"
8,"(05,07)","(03,02)","(06,08)","(04,01)","11,706"
9,"(06,03)","(08,07)","(02,01)","(04,05)","13,224"
10,"(02,05)","(03,01)","(07,06)","(08,04)","14,766"
11,"(01,02)","(07,04)","(03,05)","(08,06)","15,979"
12,"(01,03)","(06,04)","(05,02)","(07,08)","17,948"
13,"(05,01)","(06,07)","(08,03)","(04,02)","20,413"
