,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(07,03)","(04,08)","(01,05)","(06,02)",0
1,"(04,07)","(02,08)","(01,06)","(05,03)","1,020"
2,"(03,08)","(02,07)","(01,04)","(05,06)","2,400"
3,"(03,07)","(06,01)","(05,04)","(08,02)","3,966"
4,"(06,05)","(07,02)","(03,04)","(08,01)","5,297"
5,"(02,03)","(08,05)","(07,01)","(04,06)","6,331"
6,"(01,08)","(07,05)","(02,06)","(04,03)","6,832"
7,"(01,07)","(03,06)","(05,08)","(02,04)","8,212"
8,"(04,01)","(05,07)","(03,02)","(06,08)","9,132"
9,"(02,01)","(08,07)","(04,05)","(06,03)","9,976"
10,"(07,06)","(08,04)","(02,05)","(03,01)","10,992"
11,"(07,04)","(01,02)","(08,06)","(03,05)","12,205"
12,"(05,02)","(01,03)","(07,08)","(06,04)","14,162"
13,"(06,07)","(05,01)","(08,03)","(04,02)","15,736"
