,Umpire#1,Umpire#2,Umpire#3,Umpire#4,Umpire#1  @,Umpire#2  @,Umpire#3  @,Umpire#4  @,D
0,"(04,08)","(01,05)","(06,02)","(07,03)",4,1,6,7,0
1,"(05,03)","(04,07)","(01,06)","(02,08)",5,4,1,2,"1,951"
2,"(01,04)","(05,06)","(02,07)","(03,08)",1,5,2,3,"3,485"
3,"(06,01)","(03,07)","(08,02)","(05,04)",6,3,8,5,"5,073"
4,"(03,04)","(08,01)","(07,02)","(06,05)",3,8,7,6,"6,597"
5,"(08,05)","(02,03)","(04,06)","(07,01)",8,2,4,7,"8,812"
6,"(07,05)","(04,03)","(01,08)","(02,06)",7,4,1,2,"9,847"
7,"(05,08)","(01,07)","(02,04)","(03,06)",5,1,2,3,"11,534"
8,"(04,01)","(03,02)","(06,08)","(05,07)",4,3,6,5,"13,534"
9,"(02,01)","(06,03)","(08,07)","(04,05)",2,6,8,4,"14,378"
10,"(08,04)","(02,05)","(03,01)","(07,06)",8,2,3,7,"16,190"
11,"(03,05)","(08,06)","(07,04)","(01,02)",3,8,7,1,"17,403"
12,"(01,03)","(07,08)","(05,02)","(06,04)",1,7,5,6,"19,662"
13,"(05,01)","(04,02)","(06,07)","(08,03)",5,4,6,8,"21,246"
