,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Umpire @ #1,Umpire @ #2,Umpire @ #3,Umpire @ #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,4,6,7,0
1,"(04,07)","(01,06)","(05,03)","(02,08)",4,1,5,2,"2,500"
2,"(02,07)","(05,06)","(03,08)","(01,04)",2,5,3,1,"3,900"
3,"(05,04)","(06,01)","(08,02)","(03,07)",5,6,8,3,"6,533"
4,"(03,04)","(08,01)","(07,02)","(06,05)",3,8,7,6,"8,420"
5,"(07,01)","(04,06)","(02,03)","(08,05)",7,4,2,8,"9,582"
6,"(01,08)","(02,06)","(04,03)","(07,05)",1,2,4,7,"11,798"
7,"(02,04)","(01,07)","(03,06)","(05,08)",2,1,3,5,"14,668"
8,"(05,07)","(03,02)","(06,08)","(04,01)",5,3,6,4,"16,906"
9,"(04,05)","(06,03)","(08,07)","(02,01)",4,6,8,2,"18,630"
10,"(08,04)","(07,06)","(02,05)","(03,01)",8,7,2,3,"20,986"
11,"(03,05)","(08,06)","(07,04)","(01,02)",3,8,7,1,"22,747"
12,"(07,08)","(01,03)","(05,02)","(06,04)",7,1,5,6,"24,746"
13,"(06,07)","(05,01)","(04,02)","(08,03)",6,5,4,8,"26,760"
