,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",0
1,"(04,07)","(01,06)","(05,03)","(02,08)","2,500"
2,"(03,08)","(01,04)","(05,06)","(02,07)","4,194"
3,"(08,02)","(06,01)","(03,07)","(05,04)","6,498"
4,"(07,02)","(03,04)","(08,01)","(06,05)","8,802"
5,"(07,01)","(04,06)","(02,03)","(08,05)","11,281"
6,"(01,08)","(02,06)","(07,05)","(04,03)","12,316"
7,"(02,04)","(03,06)","(01,07)","(05,08)","15,083"
8,"(04,01)","(06,08)","(05,07)","(03,02)","16,003"
9,"(02,01)","(08,07)","(04,05)","(06,03)","18,004"
10,"(08,04)","(07,06)","(03,01)","(02,05)","19,373"
11,"(01,02)","(08,06)","(07,04)","(03,05)","22,198"
12,"(07,08)","(05,02)","(06,04)","(01,03)","24,950"
13,"(06,07)","(04,02)","(05,01)","(08,03)","27,612"
