,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",0
1,"(02,08)","(05,03)","(04,07)","(01,06)","2,067"
2,"(02,07)","(03,08)","(01,04)","(05,06)","3,761"
3,"(08,02)","(03,07)","(05,04)","(06,01)","6,075"
4,"(06,05)","(07,02)","(03,04)","(08,01)","8,341"
5,"(02,03)","(08,05)","(07,01)","(04,06)","9,375"
6,"(04,03)","(07,05)","(01,08)","(02,06)","11,591"
7,"(03,06)","(05,08)","(02,04)","(01,07)","12,991"
8,"(03,02)","(06,08)","(04,01)","(05,07)","15,615"
9,"(08,07)","(04,05)","(02,01)","(06,03)","16,928"
10,"(08,04)","(02,05)","(07,06)","(03,01)","18,470"
11,"(01,02)","(07,04)","(03,05)","(08,06)","20,481"
12,"(05,02)","(06,04)","(01,03)","(07,08)","23,379"
13,"(08,03)","(05,01)","(04,02)","(06,07)","25,301"
