,Umpire#1,Umpire#2,Umpire#3,Umpire#4,Umpire#1  @,Umpire#2  @,Umpire#3  @,Umpire#4  @,D
0,"(07,03)","(06,02)","(04,08)","(01,05)",7,6,4,1,0
1,"(05,03)","(04,07)","(01,06)","(02,08)",5,4,1,2,"1,020"
2,"(01,04)","(02,07)","(05,06)","(03,08)",1,2,5,3,"2,714"
3,"(03,07)","(05,04)","(08,02)","(06,01)",3,5,8,6,"5,372"
4,"(06,05)","(03,04)","(07,02)","(08,01)",6,3,7,8,"7,259"
5,"(02,03)","(08,05)","(04,06)","(07,01)",2,8,4,7,"8,293"
6,"(07,05)","(04,03)","(02,06)","(01,08)",7,4,2,1,"9,328"
7,"(05,08)","(01,07)","(03,06)","(02,04)",5,1,3,2,"10,765"
8,"(03,02)","(05,07)","(06,08)","(04,01)",3,5,6,4,"13,136"
9,"(04,05)","(02,01)","(08,07)","(06,03)",4,2,8,6,"15,106"
10,"(02,05)","(08,04)","(07,06)","(03,01)",2,8,7,3,"16,315"
11,"(08,06)","(03,05)","(01,02)","(07,04)",8,3,1,7,"18,474"
12,"(06,04)","(07,08)","(05,02)","(01,03)",6,7,5,1,"20,431"
13,"(05,01)","(04,02)","(06,07)","(08,03)",5,4,6,8,"22,353"
