,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(07,03)","(04,08)","(01,05)","(06,02)",0
1,"(04,07)","(05,03)","(02,08)","(01,06)","1,797"
2,"(03,08)","(01,04)","(05,06)","(02,07)","4,667"
3,"(03,07)","(06,01)","(08,02)","(05,04)","6,949"
4,"(06,05)","(03,04)","(08,01)","(07,02)","8,683"
5,"(02,03)","(07,01)","(04,06)","(08,05)","9,717"
6,"(02,06)","(04,03)","(07,05)","(01,08)","10,752"
7,"(05,08)","(02,04)","(03,06)","(01,07)","12,302"
8,"(03,02)","(04,01)","(06,08)","(05,07)","13,881"
9,"(04,05)","(06,03)","(08,07)","(02,01)","14,725"
10,"(07,06)","(02,05)","(03,01)","(08,04)","16,230"
11,"(03,05)","(08,06)","(01,02)","(07,04)","17,823"
12,"(06,04)","(05,02)","(07,08)","(01,03)","20,027"
13,"(06,07)","(04,02)","(05,01)","(08,03)","21,949"
