,Umpire#1,Umpire#2,Umpire#3,Umpire#4,Umpire#1  @,Umpire#2  @,Umpire#3  @,Umpire#4  @,D
0,"(07,03)","(01,05)","(04,08)","(06,02)",7,1,4,6,0
1,"(04,07)","(05,03)","(01,06)","(02,08)",4,5,1,2,"1,430"
2,"(03,08)","(02,07)","(05,06)","(01,04)",3,2,5,1,"2,867"
3,"(05,04)","(06,01)","(03,07)","(08,02)",5,6,3,8,"5,171"
4,"(06,05)","(08,01)","(07,02)","(03,04)",6,8,7,3,"6,661"
5,"(02,03)","(07,01)","(08,05)","(04,06)",2,7,8,4,"8,057"
6,"(01,08)","(04,03)","(02,06)","(07,05)",1,4,2,7,"9,341"
7,"(03,06)","(02,04)","(05,08)","(01,07)",3,2,5,1,"11,151"
8,"(04,01)","(03,02)","(06,08)","(05,07)",4,3,6,5,"12,624"
9,"(08,07)","(06,03)","(04,05)","(02,01)",8,6,4,2,"13,937"
10,"(02,05)","(07,06)","(08,04)","(03,01)",2,7,8,3,"15,388"
11,"(01,02)","(08,06)","(03,05)","(07,04)",1,8,3,7,"16,615"
12,"(07,08)","(01,03)","(05,02)","(06,04)",7,1,5,6,"18,860"
13,"(04,02)","(05,01)","(06,07)","(08,03)",4,5,6,8,"20,444"
