,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",0
1,"(04,07)","(02,08)","(05,03)","(01,06)","1,270"
2,"(02,07)","(03,08)","(05,06)","(01,04)","4,037"
3,"(03,07)","(05,04)","(08,02)","(06,01)","6,304"
4,"(06,05)","(07,02)","(03,04)","(08,01)","7,826"
5,"(02,03)","(08,05)","(04,06)","(07,01)","8,914"
6,"(01,08)","(02,06)","(04,03)","(07,05)","10,089"
7,"(05,08)","(01,07)","(03,06)","(02,04)","12,853"
8,"(06,08)","(04,01)","(05,07)","(03,02)","15,290"
9,"(04,05)","(06,03)","(02,01)","(08,07)","16,665"
10,"(08,04)","(03,01)","(07,06)","(02,05)","18,084"
11,"(03,05)","(08,06)","(01,02)","(07,04)","20,780"
12,"(01,03)","(05,02)","(06,04)","(07,08)","23,927"
13,"(04,02)","(08,03)","(05,01)","(06,07)","27,215"
