,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(06,02)","(04,08)","(07,03)",0
1,"(01,06)","(05,03)","(02,08)","(04,07)","1,807"
2,"(01,04)","(05,06)","(02,07)","(03,08)","3,357"
3,"(08,02)","(05,04)","(06,01)","(03,07)","5,639"
4,"(08,01)","(06,05)","(03,04)","(07,02)","7,905"
5,"(04,06)","(02,03)","(07,01)","(08,05)","8,939"
6,"(02,06)","(01,08)","(07,05)","(04,03)","9,440"
7,"(02,04)","(01,07)","(05,08)","(03,06)","10,820"
8,"(06,08)","(05,07)","(04,01)","(03,02)","11,740"
9,"(04,05)","(06,03)","(02,01)","(08,07)","13,152"
10,"(02,05)","(03,01)","(07,06)","(08,04)","14,168"
11,"(01,02)","(07,04)","(03,05)","(08,06)","15,381"
12,"(01,03)","(06,04)","(07,08)","(05,02)","17,380"
13,"(08,03)","(06,07)","(04,02)","(05,01)","20,282"
