,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(06,02)","(07,03)","(04,08)",0
1,"(01,06)","(05,03)","(04,07)","(02,08)","1,020"
2,"(01,04)","(05,06)","(03,08)","(02,07)","2,400"
3,"(06,01)","(03,07)","(08,02)","(05,04)","3,966"
4,"(03,04)","(08,01)","(06,05)","(07,02)","5,297"
5,"(07,01)","(04,06)","(02,03)","(08,05)","6,331"
6,"(04,03)","(02,06)","(07,05)","(01,08)","6,832"
7,"(05,08)","(02,04)","(01,07)","(03,06)","8,212"
8,"(06,08)","(03,02)","(05,07)","(04,01)","9,132"
9,"(08,07)","(02,01)","(06,03)","(04,05)","9,976"
10,"(08,04)","(07,06)","(03,01)","(02,05)","10,992"
11,"(08,06)","(03,05)","(07,04)","(01,02)","12,205"
12,"(07,08)","(06,04)","(05,02)","(01,03)","14,162"
13,"(04,02)","(08,03)","(05,01)","(06,07)","15,736"
