,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Games #1,Games #2,Games #3,Games #4,"C[1,1]","C[1,2]","C[1,3]","C[1,4]","C[2,1]","C[2,2]","C[2,3]","C[2,4]","C[3,1]","C[3,2]","C[3,3]","C[3,4]","C[4,1]","C[4,2]","C[4,3]","C[4,4]",D
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"(02,08)","(05,03)","(04,07)","(01,06)",2,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2,067"
2,"(02,07)","(05,06)","(03,08)","(01,04)",2,4,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"4,831"
3,"(03,07)","(06,01)","(08,02)","(05,04)",1,3,4,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"7,098"
4,"(06,05)","(07,02)","(08,01)","(03,04)",2,3,4,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,"8,660"
5,"(04,06)","(02,03)","(07,01)","(08,05)",2,1,3,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,"10,286"
6,"(01,08)","(07,05)","(02,06)","(04,03)",1,4,2,3,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,"12,798"
7,"(05,08)","(01,07)","(02,04)","(03,06)",4,1,2,3,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,"15,678"
8,"(06,08)","(05,07)","(03,02)","(04,01)",4,3,1,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,"17,916"
9,"(06,03)","(08,07)","(02,01)","(04,05)",3,4,1,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,"20,070"
10,"(08,04)","(02,05)","(03,01)","(07,06)",4,1,2,3,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,"21,279"
11,"(07,04)","(01,02)","(03,05)","(08,06)",3,1,2,4,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,"23,438"
12,"(07,08)","(01,03)","(05,02)","(06,04)",4,1,2,3,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,"26,475"
13,"(08,03)","(04,02)","(05,01)","(06,07)",4,1,2,3,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,"29,468"
