,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",0
1,"(05,03)","(02,08)","(01,06)","(04,07)","2,878"
2,"(03,08)","(01,04)","(02,07)","(05,06)","4,315"
3,"(05,04)","(06,01)","(03,07)","(08,02)","6,973"
4,"(08,01)","(06,05)","(07,02)","(03,04)","8,692"
5,"(07,01)","(08,05)","(02,03)","(04,06)","11,035"
6,"(01,08)","(07,05)","(04,03)","(02,06)","13,251"
7,"(03,06)","(02,04)","(01,07)","(05,08)","16,008"
8,"(04,01)","(03,02)","(05,07)","(06,08)","17,481"
9,"(02,01)","(04,05)","(06,03)","(08,07)","19,313"
10,"(07,06)","(08,04)","(02,05)","(03,01)","20,855"
11,"(08,06)","(01,02)","(03,05)","(07,04)","22,809"
12,"(06,04)","(01,03)","(07,08)","(05,02)","25,561"
13,"(08,03)","(06,07)","(05,01)","(04,02)","28,463"
