,Umpire #1,Umpire #2,Umpire #3,Umpire #4,Games #1,Games #2,Games #3,Games #4,"C[1,1]","C[1,2]","C[1,3]","C[1,4]","C[2,1]","C[2,2]","C[2,3]","C[2,4]","C[3,1]","C[3,2]","C[3,3]","C[3,4]","C[4,1]","C[4,2]","C[4,3]","C[4,4]",D
0,"(01,05)","(04,08)","(06,02)","(07,03)",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"(04,07)","(05,03)","(02,08)","(01,06)",3,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1,944"
2,"(02,07)","(01,04)","(05,06)","(03,08)",2,1,4,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,"4,708"
3,"(03,07)","(06,01)","(08,02)","(05,04)",1,3,4,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,"7,012"
4,"(08,01)","(03,04)","(07,02)","(06,05)",4,1,3,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,"8,899"
5,"(07,01)","(02,03)","(04,06)","(08,05)",3,1,2,4,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,"10,061"
6,"(04,03)","(07,05)","(02,06)","(01,08)",3,4,2,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,"12,573"
7,"(02,04)","(05,08)","(01,07)","(03,06)",2,4,1,3,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,"15,337"
8,"(03,02)","(06,08)","(05,07)","(04,01)",1,4,3,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,"16,810"
9,"(08,07)","(04,05)","(06,03)","(02,01)",4,2,3,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,"17,654"
10,"(07,06)","(02,05)","(03,01)","(08,04)",3,1,2,4,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,"19,268"
11,"(01,02)","(03,05)","(08,06)","(07,04)",1,2,4,3,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,"21,932"
12,"(06,04)","(05,02)","(07,08)","(01,03)",3,2,4,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,"24,578"
13,"(04,02)","(08,03)","(05,01)","(06,07)",1,4,2,3,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,"26,524"
