,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(06,02)","(07,03)","(01,05)","(04,08)",0
1,"(04,07)","(05,03)","(02,08)","(01,06)","1,020"
2,"(05,06)","(03,08)","(01,04)","(02,07)","2,400"
3,"(05,04)","(06,01)","(08,02)","(03,07)","3,966"
4,"(06,05)","(03,04)","(08,01)","(07,02)","5,297"
5,"(02,03)","(07,01)","(04,06)","(08,05)","6,331"
6,"(01,08)","(04,03)","(07,05)","(02,06)","6,832"
7,"(01,07)","(05,08)","(02,04)","(03,06)","8,212"
8,"(06,08)","(04,01)","(03,02)","(05,07)","9,132"
9,"(04,05)","(02,01)","(08,07)","(06,03)","9,976"
10,"(02,05)","(08,04)","(03,01)","(07,06)","10,992"
11,"(01,02)","(08,06)","(07,04)","(03,05)","12,205"
12,"(01,03)","(06,04)","(07,08)","(05,02)","14,162"
13,"(06,07)","(04,02)","(05,01)","(08,03)","15,736"
