,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(01,05)","(04,08)","(06,02)","(07,03)",0
1,"(05,03)","(02,08)","(04,07)","(01,06)","1,914"
2,"(02,07)","(03,08)","(01,04)","(05,06)","3,724"
3,"(08,02)","(06,01)","(05,04)","(03,07)","5,678"
4,"(06,05)","(07,02)","(03,04)","(08,01)","7,202"
5,"(02,03)","(08,05)","(07,01)","(04,06)","8,236"
6,"(04,03)","(07,05)","(01,08)","(02,06)","10,452"
7,"(05,08)","(02,04)","(03,06)","(01,07)","13,219"
8,"(06,08)","(05,07)","(04,01)","(03,02)","15,762"
9,"(08,07)","(04,05)","(02,01)","(06,03)","18,007"
10,"(07,06)","(03,01)","(02,05)","(08,04)","20,118"
11,"(03,05)","(08,06)","(01,02)","(07,04)","22,331"
12,"(01,03)","(06,04)","(07,08)","(05,02)","24,560"
13,"(05,01)","(08,03)","(06,07)","(04,02)","27,025"
