,Umpire #1,Umpire #2,Umpire #3,Umpire #4,D
0,"(07,03)","(06,02)","(01,05)","(04,08)",0
1,"(04,07)","(05,03)","(01,06)","(02,08)","1,020"
2,"(03,08)","(05,06)","(01,04)","(02,07)","2,400"
3,"(03,07)","(06,01)","(08,02)","(05,04)","3,966"
4,"(06,05)","(08,01)","(03,04)","(07,02)","5,297"
5,"(02,03)","(04,06)","(07,01)","(08,05)","6,331"
6,"(01,08)","(02,06)","(07,05)","(04,03)","6,832"
7,"(01,07)","(02,04)","(05,08)","(03,06)","8,212"
8,"(06,08)","(05,07)","(03,02)","(04,01)","9,132"
9,"(08,07)","(02,01)","(04,05)","(06,03)","9,976"
10,"(07,06)","(08,04)","(03,01)","(02,05)","10,992"
11,"(08,06)","(01,02)","(07,04)","(03,05)","12,205"
12,"(05,02)","(06,04)","(07,08)","(01,03)","14,162"
13,"(06,07)","(08,03)","(05,01)","(04,02)","15,736"
